SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
0.1293567,-0.2203153,1.810217,0.3032742,-0.2215651,1.553805,0.4573553,-0.2174583,1.287056,0.5359721,-0.1353808,1.291543,0.279354,-0.2448783,1.200171,0.4931086,-0.2350225,1.180252,0.5241845,-0.3027284,0.9731492,0.5357468,-0.2855434,0.8830633,0.4797975,-0.282543,1.232399,0.5319449,-0.2667093,1.030175,0.5329486,-0.3094269,0.8464962,0.5460284,-0.2660642,0.8333282,0.02026317,-0.2115651,1.711534,0.261151,-0.03138224,1.971259,0.154353,-0.2325885,1.664372,0.04015204,-0.2635123,1.620511,0.2199525,-0.2194374,1.841867,0.06627027,-0.1880562,1.414272,0.07379552,-0.245941,1.77985,-0.01708274,-0.2374355,1.821679,0.4207441,-0.2201101,1.354701,0.5429531,-0.2700605,0.8016626,0.5628551,-0.3114614,0.8691695,0.5440067,-0.2447609,0.7870442,0.5571882,-0.2810799,0.8128533
0.1307574,-0.09089476,2.556933,0.4322619,-0.1132176,2.603989,0.7246027,-0.1338491,2.641115,0.8447548,-0.1333825,2.671243,0.5936663,0.04150913,2.689798,0.4964562,0.1847427,2.587437,0.4206887,0.3297282,2.470972,0.3631273,0.4165605,2.3963,0.6834091,-0.2274679,2.553456,0.5081697,-0.1951746,2.375169,0.3671994,-0.1785875,2.172453,0.3511006,-0.2422817,2.115268,0.1306593,-0.04221698,2.536581,-0.1461907,0.08298553,2.395859,-0.3890351,-0.1390275,2.454976,-0.4327493,-0.1794861,2.329907,0.1232255,-0.1357134,2.510488,-0.0800337,-0.1734159,2.185966,-0.3701786,-0.2171735,2.345792,-0.4477116,-0.2055704,2.290905,0.6528002,-0.1290966,2.633463,0.338946,0.4536748,2.339438,0.3295749,0.4181929,2.400119,0.3269836,-0.2483754,2.088863,0.3415161,-0.2267672,2.125
0.1313265,-0.130777,2.587853,0.476396,-0.1266089,2.67312,0.811505,-0.1245605,2.747319,0.9213278,-0.1452314,2.784286,0.6327958,0.03361389,2.836206,0.484419,-0.03330437,2.641541,0.2975137,-0.09449714,2.491262,0.2390485,-0.112371,2.440599,0.6879939,-0.1417093,2.588094,0.5369963,-0.209778,2.395904,0.4318387,-0.2333123,2.221162,0.3602849,-0.2438396,2.224055,0.1266447,-0.1025746,2.551773,-0.2900563,-0.168519,2.524905,-0.5280132,-0.1937213,2.36439,-0.5132348,-0.2884157,2.318351,0.1325511,-0.1556707,2.557938,-0.0005172409,0.1236441,2.339613,-0.3000016,-0.09935084,2.418184,-0.28842,-0.1953671,2.37151,0.728653,-0.1253916,2.730792,0.1786132,-0.1283828,2.398985,0.2558435,-0.1254121,2.400329,0.338644,-0.2443672,2.181827,0.3379977,-0.2426591,2.166616
0.1322723,-0.09625559,2.554878,0.4312617,-0.115568,2.603692,0.7210167,-0.1338178,2.641896,0.8520232,-0.1431376,2.660498,0.5966852,0.03806384,2.6884,0.4907007,0.1785738,2.577806,0.4014054,0.3345458,2.456718,0.3443827,0.4072065,2.386883,0.6853338,-0.2330955,2.553634,0.4838116,-0.1998911,2.407306,0.3599992,-0.2365684,2.195909,0.319437,-0.2491253,2.129146,0.1330997,-0.05312793,2.574729,-0.1643342,0.08498143,2.401475,-0.3853004,-0.1394586,2.459461,-0.4118873,-0.1738581,2.324329,0.12845,-0.1372947,2.468459,-0.05513184,-0.2014509,2.158445,-0.3455441,-0.2228402,2.355639,-0.4290464,-0.2130921,2.264776,0.6500177,-0.1294124,2.634319,0.3240741,0.4414693,2.333774,0.2991566,0.4037708,2.379286,0.2901235,-0.2528146,2.094561,0.274052,-0.2502764,2.110059
0.1328875,-0.1068276,2.508831,0.4536185,-0.1205512,2.608175,0.7662761,-0.1392451,2.692366,0.8768871,-0.1304582,2.749501,0.5875492,0.01903162,2.781239,0.5453569,-0.09244402,2.556834,0.334141,-0.1549256,2.446106,0.2825062,-0.1650485,2.41672,0.6202036,-0.1420528,2.54856,0.5161294,-0.1989777,2.398342,0.4174494,-0.2320137,2.243271,0.3853353,-0.2433475,2.195293,0.1337585,-0.07197537,2.472265,-0.1414302,-0.1788965,2.323073,-0.4156509,-0.1924634,2.379897,-0.5144351,-0.1593231,2.314815,0.1325208,-0.140078,2.46703,-0.2696909,-0.1954461,2.297606,-0.5724648,-0.2127426,2.21845,-0.6511015,-0.1711577,2.138661,0.6884207,-0.1357974,2.673765,0.2154171,-0.1827655,2.360884,0.280375,-0.2144247,2.401199,0.3648536,-0.2475623,2.160986,0.3650829,-0.2455165,2.145128
0.1333641,-1.064695,2.784357,0.4403796,-1.05162,2.803271,0.7356846,-1.043446,2.820728,0.8415844,-1.041945,2.765862,0.6933944,-0.9179888,2.902792,0.4323079,-0.8731295,2.875262,0.1400268,-0.8038754,2.85504,0.05370988,-0.7999452,2.863793,0.6983812,-1.081604,2.724227,0.8978961,-0.9893385,2.545068,1.047337,-0.9588914,2.378073,1.052589,-0.9511333,2.367602,0.1215694,-1.009378,2.764347,-0.01001939,-0.735653,2.886942,-0.08358361,-1.08621,2.83819,-0.14949,-1.057691,2.694949,0.1427303,-1.093579,2.729353,-0.1465261,-0.9617684,2.554728,-0.4670367,-0.9965805,2.376947,-0.458062,-0.9415717,2.256725,0.6632105,-1.044939,2.817838,-0.03465493,-0.7732562,2.857717,0.04829005,-0.846845,2.834489,1.067411,-0.9611515,2.2624,0.9963419,-0.975827,2.3272
0.1338724,-0.1151406,2.512134,0.4121291,-0.1284337,2.609646,0.6936636,-0.1408662,2.697395,0.8371166,-0.1358148,2.762288,0.5150594,0.01743027,2.786144,0.3696864,-0.06540515,2.596333,0.1538903,-0.01762079,2.489046,0.1060878,0.03577798,2.454596,0.5882612,-0.1433354,2.599803,0.4424915,-0.2373752,2.415972,0.2132035,-0.1637739,2.378766,0.1382263,-0.1367503,2.385124,0.126401,-0.07694323,2.498267,-0.1913221,-0.02925224,2.32823,-0.4119146,-0.1912432,2.45494,-0.3511447,-0.1348175,2.454446,0.1420473,-0.1472674,2.456604,-0.1297186,0.003951016,2.349928,-0.3551157,-0.07100192,2.490498,-0.3345847,-0.1650806,2.436021,0.623347,-0.1374066,2.676707,0.09039605,0.02726083,2.427128,0.1058157,0.04360794,2.449172,0.07424255,-0.09757048,2.358345,0.1170627,-0.1910497,2.35495
0.133964,-1.039103,2.974609,0.4401914,-1.042275,2.90487,0.7395379,-1.040512,2.822853,0.8842776,-1.03152,2.928549,0.6261206,-0.8971307,2.928939,0.3672133,-0.8613421,2.901625,0.07630958,-0.8031967,2.888565,-0.01920032,-0.7965481,2.889627,0.7069532,-1.076485,2.725716,0.8664633,-0.9978791,2.583451,0.9747267,-0.9465294,2.392017,0.9664242,-0.9479321,2.394135,0.1326811,-0.9707757,2.972926,-0.07197474,-0.9414832,2.635454,-0.3806098,-0.8878152,2.439512,-0.3940411,-0.9437426,2.297901,0.1321665,-1.080952,2.900846,-0.06747303,-1.048474,2.560633,-0.3636371,-1.015168,2.34164,-0.3773018,-0.8759703,2.329059,0.6659535,-1.041876,2.845836,-0.09685088,-0.7807077,2.867221,0.01741285,-0.7281148,2.870324,0.9754883,-0.9683222,2.30905,0.972177,-0.8958315,2.351177
0.1353765,-0.08176605,2.601646,0.4328722,-0.1022658,2.666339,0.7237737,-0.1352057,2.716018,0.8356249,-0.1327933,2.758846,0.6665853,-0.1598465,2.806758,0.5193669,-0.1789465,2.603085,0.4836232,0.04084902,2.678654,0.4463199,0.1086785,2.661779,0.6920172,-0.2627863,2.603149,0.4661526,-0.1963285,2.52696,0.3240729,-0.2227532,2.326977,0.2920912,-0.2199435,2.263464,0.1300328,-0.05133612,2.627024,-0.2183084,0.02744517,2.408941,-0.424136,-0.1780231,2.460123,-0.5232797,-0.2127074,2.412393,0.1379305,-0.1091982,2.507228,-0.05952087,-0.000303061,2.246276,-0.3975677,-0.1794824,2.259547,-0.3864232,-0.2742173,2.223917,0.6522219,-0.1271409,2.706095,0.4803255,0.1493435,2.70021,0.4426341,0.107781,2.639797,0.2699565,-0.2376788,2.211963,0.2759802,-0.2042179,2.262375
0.1390234,-0.1105803,2.509427,0.459428,-0.1242457,2.607866,0.769399,-0.1381987,2.695208,0.8800855,-0.1305454,2.753027,0.5906718,0.02007165,2.784083,0.5484872,-0.091438,2.559637,0.3344477,-0.1250522,2.441216,0.279077,-0.1352581,2.426354,0.6222953,-0.1445476,2.548777,0.5176428,-0.2065149,2.391926,0.4165682,-0.2419301,2.23438,0.3836588,-0.2540707,2.185574,0.1366809,-0.07541985,2.479454,0.05913525,-0.2080142,2.34365,-0.3285348,-0.1785871,2.425652,-0.3125894,-0.2730304,2.37724,0.1336663,-0.1434412,2.471297,-0.16147,-0.1801111,2.327377,-0.5280159,-0.2156019,2.208668,-0.5087612,-0.3093079,2.160937,0.6929973,-0.1350555,2.67547,0.2115591,-0.1528651,2.364578,0.3068276,-0.194225,2.416526,0.3631776,-0.2582356,2.151273,0.362563,-0.253006,2.135547
