SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
-1.773743,-0.7501007,3.763143,-1.776671,-0.4639413,3.827308,-1.77401,-0.1797193,3.879937,-1.752944,-0.03376474,3.942307,-1.842724,-0.2623075,3.73767,-1.931371,-0.4908572,3.627444,-1.93344,-0.7271266,3.550695,-1.929173,-0.7935537,3.544232,-1.682884,-0.3206837,3.984322,-1.651603,-0.5757974,3.968573,-1.61689,-0.7748086,3.918575,-1.599565,-0.8477765,3.914499,-1.791041,-0.7220289,3.66592,-1.743274,-1.071181,3.536144,-1.692929,-1.41565,3.468264,-1.618327,-1.480525,3.394483,-1.727203,-0.7663905,3.797814,-1.711546,-1.078847,3.746845,-1.941009,-1.341883,3.722876,-1.944843,-1.421629,3.644451,-1.775635,-0.2505451,3.868885,-1.93519,-0.8515617,3.534761,-1.956878,-0.7839959,3.518625,-1.585614,-0.8984104,3.908541,-1.608751,-0.8495921,3.8945
-1.520977,-0.5477297,2.88724,-1.532446,-0.2500459,2.922212,-1.536922,0.04302666,2.945004,-1.510494,0.1500866,3.005701,-1.614896,-0.06247921,2.824824,-1.710967,-0.2955751,2.706337,-1.725423,-0.5115278,2.646173,-1.72578,-0.5750468,2.628627,-1.4543,-0.1191701,3.095737,-1.417966,-0.3505444,3.066831,-1.310233,-0.4787704,2.939071,-1.270924,-0.4894525,2.894148,-1.537268,-0.5181357,2.799387,-1.49313,-0.8247955,2.635004,-1.460974,-1.145746,2.580032,-1.361343,-1.164798,2.501749,-1.47161,-0.5653582,2.912225,-1.463929,-0.9077744,2.846638,-1.772632,-1.203218,2.922076,-1.810835,-1.277462,2.897674,-1.536757,-0.02959112,2.941333,-1.735705,-0.6530469,2.608473,-1.727571,-0.6046745,2.582,-1.222983,-0.4995933,2.85394,-1.274724,-0.5170966,2.8777
-1.44032,-0.4154386,2.697226,-1.497327,-0.1230137,2.763207,-1.546424,0.1619162,2.813854,-1.623323,0.2690938,2.886112,-1.621914,0.02417634,2.654765,-1.709291,-0.1324,2.558543,-1.52784,-0.3294559,2.488289,-1.49882,-0.4179641,2.475581,-1.385109,0.008426568,2.811329,-1.318409,-0.255747,2.819605,-1.337113,-0.507567,2.864612,-1.353848,-0.5473913,2.889154,-1.481813,-0.4056568,2.612594,-1.367989,-0.7115236,2.546686,-1.49858,-0.9731769,2.678861,-1.477468,-0.8416617,2.587235,-1.361834,-0.4147231,2.713768,-1.405797,-0.7270107,2.643559,-1.523261,-1.0265,2.689025,-1.480291,-0.8873233,2.623022,-1.535494,0.09148955,2.803603,-1.458692,-0.4733492,2.415793,-1.448586,-0.4088062,2.427667,-1.39266,-0.5983101,2.897798,-1.305032,-0.5586581,2.893375
-1.390711,-0.7825719,3.53153,-1.427463,-0.4542888,3.597434,-1.458611,-0.1326354,3.64922,-1.40308,-0.05057878,3.73504,-1.570428,-0.2863184,3.594755,-1.624966,-0.5457175,3.51459,-1.574547,-0.7261683,3.378005,-1.509829,-0.7486935,3.330745,-1.259316,-0.309545,3.563848,-1.159772,-0.5779119,3.511888,-1.213244,-0.780093,3.422632,-1.221601,-0.7940906,3.439437,-1.436921,-0.7637957,3.493706,-1.368426,-1.103058,3.426015,-1.361362,-1.334443,3.193026,-1.35455,-1.344875,3.052296,-1.31581,-0.785857,3.497769,-1.517894,-1.103634,3.499892,-1.361346,-1.367405,3.178992,-1.366295,-1.26253,3.132064,-1.451827,-0.2122415,3.638844,-1.489489,-0.7681858,3.311867,-1.516413,-0.7624524,3.308,-1.251311,-0.8313301,3.442991,-1.231216,-0.7732632,3.395437
-1.313576,-0.5813509,2.874743,-1.339655,-0.2341719,2.966921,-1.359293,0.1049784,3.043937,-1.400325,0.2332328,3.143245,-1.353174,-0.03708265,2.820026,-1.466206,-0.3019466,2.698432,-1.375256,-0.5118049,2.67603,-1.35629,-0.5501552,2.689898,-1.193865,-0.04173045,2.995624,-1.095579,-0.2931936,3.048224,-1.329856,-0.3486329,2.849602,-1.417875,-0.3957647,2.892267,-1.345703,-0.5664909,2.786053,-1.355443,-0.8879272,2.802165,-1.264863,-1.106336,2.542633,-1.248677,-0.9949366,2.548728,-1.245333,-0.5802111,2.884306,-1.381377,-0.8705329,2.829704,-1.267908,-1.188171,2.757968,-1.195938,-1.126911,2.599403,-1.355546,0.02117611,3.027374,-1.339603,-0.5990737,2.694801,-1.294301,-0.5233588,2.668383,-1.495598,-0.425301,2.943738,-1.432342,-0.3571658,2.849461
-1.312924,-0.6164732,3.206686,-1.378242,-0.2784389,3.300934,-1.43745,0.05327686,3.381884,-1.351871,0.01374025,3.448964,-1.493337,-0.1127574,3.219015,-1.609338,-0.3601264,3.172272,-1.687439,-0.5964056,3.280477,-1.69812,-0.6092873,3.286403,-1.360277,-0.0630183,3.280551,-1.192245,-0.2996218,3.300455,-1.173165,-0.5843391,3.315951,-1.182629,-0.6947517,3.339697,-1.352628,-0.6081076,3.141773,-1.413547,-0.8860086,3.050523,-1.387661,-1.171642,2.971774,-1.339487,-1.178887,2.829256,-1.243412,-0.6108402,3.198781,-1.315855,-0.8860098,3.202274,-1.317155,-1.273693,3.096106,-1.311523,-1.333008,2.984375,-1.423727,-0.0288938,3.364058,-1.723137,-0.6320747,3.283256,-1.664685,-0.615988,3.280529,-1.198198,-0.7409201,3.340215,-1.154078,-0.6931207,3.316533
-1.285513,-0.5675982,3.2362,-1.29341,-0.2813337,3.295198,-1.295795,0.00243697,3.340358,-1.263602,0.1217815,3.404801,-1.306556,-0.1080532,3.166809,-1.30302,-0.2792516,3.061896,-1.121053,-0.3465833,3.181394,-1.090004,-0.3289834,3.269577,-1.212451,-0.1768878,3.455273,-1.083729,-0.3497227,3.34542,-1.091967,-0.1828751,3.290031,-1.095781,-0.1275978,3.274862,-1.29116,-0.5391892,3.13418,-1.272052,-0.8540457,3.05753,-1.3165,-1.275516,2.962066,-1.215488,-1.310873,2.896036,-1.250648,-0.5737593,3.275684,-1.262353,-0.8801681,3.320865,-1.319942,-1.306229,3.268439,-1.220952,-1.348149,3.206992,-1.296016,-0.06814673,3.331198,-1.043325,-0.3093331,3.308052,-1.04288,-0.2712441,3.2777,-1.090929,-0.1434799,3.2749,-1.088596,-0.09543312,3.244383
-1.259958,-0.9392287,4.123072,-1.2647,-0.6113529,4.181939,-1.242791,-0.2913721,4.233815,-1.327509,-0.2023191,4.281103,-1.425772,-0.4228785,4.172139,-1.425907,-0.6296685,4.100098,-1.406606,-0.8704516,3.99894,-1.363339,-0.9171691,3.993144,-1.102601,-0.4335722,4.194444,-0.9699789,-0.6864305,4.172556,-0.9229774,-0.8938541,4.215687,-0.9422933,-0.9376254,4.222228,-1.318954,-0.9334758,4.079905,-1.407691,-1.307918,4.109471,-1.453216,-1.549455,3.925416,-1.409275,-1.465929,3.932767,-1.179696,-0.9286993,4.093477,-1.209675,-1.260078,4.002602,-1.261599,-1.553967,3.966089,-1.243488,-1.563308,3.831577,-1.246958,-0.3714037,4.225556,-1.325364,-0.9727125,3.965681,-1.372887,-0.9424711,3.9789,-0.937309,-1.0005,4.230882,-0.9876391,-0.941997,4.200625
-1.252708,-0.8077441,3.95111,-1.233796,-0.4993699,4.023434,-1.212078,-0.1952031,4.0799,-1.227251,-0.1029523,4.085848,-1.360316,-0.3435417,4.002793,-1.462901,-0.5881957,3.966561,-1.526672,-0.8070396,3.922502,-1.543666,-0.8428627,3.92027,-1.085949,-0.3344421,3.967221,-0.9947577,-0.5817553,4.007485,-0.9197733,-0.7600638,4.038988,-0.9165307,-0.7922858,4.062262,-1.296811,-0.8026986,3.913059,-1.13847,-1.128588,3.781065,-1.244968,-1.384941,3.453974,-1.225027,-1.436948,3.375833,-1.185703,-0.7975196,3.919539,-1.300884,-1.130988,3.923394,-1.23927,-1.53894,3.898419,-1.232918,-1.496537,3.761856,-1.217942,-0.2710347,4.067597,-1.537684,-0.8911382,3.910116,-1.516423,-0.8405051,3.929,-0.9047948,-0.8457409,4.073417,-0.9403729,-0.7892538,4.036111
-1.243532,-0.7508639,3.038849,-1.253494,-0.4003656,3.127383,-1.258441,-0.05620637,3.202447,-1.281108,0.03248834,3.301252,-1.309249,-0.1749387,3.025454,-1.477319,-0.3856443,2.984534,-1.521708,-0.6703305,2.946989,-1.512686,-0.7065583,2.938706,-1.091271,-0.2385453,3.230051,-1.043693,-0.4223473,3.31441,-1.055936,-0.6312965,3.101346,-1.075786,-0.6295213,3.046054,-1.281344,-0.7224141,2.959621,-1.179994,-1.005029,2.79142,-1.11557,-1.318311,2.634645,-1.028834,-1.313089,2.523313,-1.174867,-0.7609163,3.043488,-1.232216,-1.12484,2.966841,-1.36964,-1.48395,3.078472,-1.292918,-1.44721,2.940586,-1.258044,-0.1414625,3.186046,-1.503134,-0.7523699,2.919981,-1.556071,-0.6756397,2.90753,-1.079495,-0.6531824,3.015526,-1.05344,-0.7060425,3.061286
