SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
-0.189305,-0.01686824,2.290679,-0.2350127,0.2273437,2.29995,-0.2770442,0.4658347,2.300029,-0.3394499,0.5610219,2.325105,-0.4271446,0.289651,2.395289,-0.3533386,0.1015177,2.334308,-0.2680682,0.09405227,2.139935,-0.4645083,0.1393541,1.937659,-0.1716197,0.3475491,2.176088,-0.1723871,0.1453739,2.115163,-0.3519316,0.0869883,2.073514,-0.4082493,0.09210376,2.06065,-0.2275886,-0.03153715,2.273745,-0.3129639,-0.1751889,2.090354,-0.3005435,-0.5110822,2.138417,-0.3381032,-0.547551,2.203815,-0.1457645,-0.001906925,2.248971,-0.0445442,-0.2338306,2.289718,-0.2530372,-0.4734042,2.095995,-0.2901656,-0.5032682,2.164563,-0.2669341,0.4070916,2.301748,-0.4618084,0.1411703,1.926419,-0.4566062,0.1414334,1.918908,-0.4661393,0.1042285,2.022311,-0.431215,0.1072779,2.0586
-0.1872452,-0.02672254,2.295453,-0.2316966,0.2221626,2.309717,-0.2741552,0.4647563,2.314509,-0.3420363,0.5569642,2.347271,-0.4242481,0.2886247,2.409775,-0.3474429,0.1017616,2.348603,-0.4201055,0.1240768,2.150974,-0.4313628,0.1217035,2.142619,-0.1737491,0.3434999,2.185925,-0.138304,0.1448809,2.122906,-0.336347,0.1102206,2.148454,-0.4091019,0.1164568,2.147718,-0.2223241,-0.03675154,2.291441,-0.3156404,-0.1712955,2.086384,-0.3027835,-0.5319154,2.145826,-0.3436399,-0.5626596,2.212043,-0.1472013,-0.01579107,2.240521,-0.009329042,-0.1875122,2.237232,-0.230579,-0.3825448,2.009227,-0.266541,-0.4587857,2.044646,-0.2637083,0.4051325,2.314989,-0.4710433,0.1126668,2.111464,-0.4716485,0.1248224,2.140333,-0.4675717,0.1214756,2.13147,-0.4496477,0.1389681,2.132167
-0.1645844,0.009790877,2.325342,-0.1920496,0.252213,2.313871,-0.2197146,0.4879961,2.292604,-0.2727759,0.5896303,2.319585,-0.2804048,0.4546672,2.317414,-0.2808073,0.2619893,2.226197,-0.3525606,0.1150729,2.093526,-0.3413664,0.07729319,2.070246,-0.1147804,0.3518523,2.176503,-0.1750298,0.1606193,2.109056,-0.3630784,0.08880419,2.063154,-0.4333296,0.0994565,2.039898,-0.1992393,0.009881293,2.307491,-0.3159893,-0.1429097,2.097271,-0.28049,-0.4548634,2.276598,-0.2672897,-0.5579623,2.231534,-0.1261525,0.009313522,2.284447,-0.2231147,-0.0913171,1.995924,-0.1604453,-0.308784,2.273193,-0.08743986,-0.3888033,2.233713,-0.2129598,0.4300031,2.299715,-0.3512764,0.0557852,2.066494,-0.2994994,0.04548124,2.071687,-0.4719164,0.1113377,2.002198,-0.4456386,0.1198518,2.041
-0.1268439,-0.05776454,2.357478,-0.2651167,0.122797,2.330721,-0.3972313,0.2958076,2.293333,-0.4867442,0.3381107,2.303886,-0.4321631,0.1674391,2.277048,-0.297541,0.009957274,2.281344,-0.4675693,0.09957544,2.204789,-0.4718843,0.09900324,2.192915,-0.2238749,0.2717779,2.177025,-0.1467085,0.09056212,2.098287,-0.3384616,0.09863433,2.15704,-0.4609559,0.1082379,2.201984,-0.1742561,-0.08321536,2.337924,-0.2950851,-0.1008316,2.092111,-0.2726152,-0.3914457,2.138495,-0.2950769,-0.4403297,2.03536,-0.0755716,-0.02934667,2.318078,-0.174135,-0.1136702,2.024462,0.04086777,-0.1216474,2.311097,0.05130604,-0.2269126,2.255965,-0.3643108,0.2537626,2.304471,-0.4762668,0.09362978,2.183345,-0.4714537,0.1072095,2.19534,-0.4780008,0.1046731,2.204996,-0.4646129,0.09202809,2.161886
-0.1252343,-0.05319048,2.345936,-0.2627647,0.1200308,2.326369,-0.3986358,0.286941,2.291439,-0.4850076,0.3304427,2.300827,-0.4289197,0.1579998,2.272548,-0.2795414,0.07078275,2.154566,-0.3086114,-0.117865,2.07112,-0.341679,-0.144541,2.034333,-0.2325364,0.2667691,2.178698,-0.1518646,0.08843207,2.096509,-0.3426592,0.09998564,2.157249,-0.4543372,0.1170733,2.20302,-0.169411,-0.08360046,2.3204,-0.2908815,-0.1537694,2.096336,-0.2570562,-0.4168444,2.145288,-0.300318,-0.4884371,2.181385,-0.07662941,-0.02118764,2.309747,-0.1759292,-0.1067485,2.016764,0.02677224,-0.1202005,2.31152,0.04127169,-0.2249418,2.256382,-0.3652406,0.2460129,2.302242,-0.3631527,-0.1934338,1.967079,-0.3547969,-0.1211924,1.976667,-0.4629802,0.123175,2.212008,-0.4617221,0.09476167,2.166519
-0.06486039,-0.2894534,2.56714,-0.05883264,-0.06069634,2.606885,-0.05507277,0.1643848,2.638786,-0.0461801,0.2770966,2.640621,-0.1879763,0.07268563,2.538684,-0.2342935,-0.1173837,2.470967,-0.1392886,-0.238327,2.326028,-0.1076543,-0.2596636,2.312797,0.09203342,0.05364838,2.66781,0.1414091,-0.1337915,2.585426,0.2284524,-0.1957146,2.522414,0.2568668,-0.2365834,2.497263,-0.1221962,-0.2773608,2.507749,0.05660698,-0.3603348,2.212782,-0.04376924,-0.6686369,2.391015,-0.02909415,-0.7550249,2.329027,-0.006391638,-0.2953801,2.571881,0.1898332,-0.355353,2.232717,0.2575575,-0.7008717,2.091606,0.3082036,-0.7301779,1.996619,-0.0562125,0.1086557,2.632818,-0.04535718,-0.3172268,2.272557,-0.08151594,-0.2324875,2.32696,0.2957253,-0.2739075,2.487703,0.2119383,-0.2817383,2.453725
-0.0627972,-0.2922526,2.558675,-0.05671989,-0.06350183,2.60452,-0.05160645,0.1602496,2.64105,-0.04180863,0.2750596,2.64281,-0.1855693,0.07594218,2.54261,-0.2416293,-0.1201874,2.470028,-0.1909983,-0.1887161,2.35326,-0.1526742,-0.2228117,2.314292,0.09091793,0.04702855,2.666727,0.1520507,-0.1398888,2.580258,0.2340949,-0.1910683,2.53012,0.2648988,-0.2309124,2.496972,-0.1189507,-0.2796032,2.500826,0.05857765,-0.3320943,2.199081,-0.09905818,-0.6688146,2.243377,-0.05063289,-0.7700213,2.200631,-0.004763965,-0.2987458,2.561172,0.1996879,-0.3580376,2.227605,0.2835658,-0.7130236,2.12892,0.3356743,-0.752951,2.02573,-0.05277017,0.1049737,2.633541,-0.1525955,-0.2559684,2.283549,-0.104991,-0.1991057,2.346579,0.3036873,-0.2736017,2.493144,0.2330323,-0.2780686,2.479636
-0.06100904,-0.2890579,2.55383,-0.05821756,-0.05884219,2.606228,-0.05539576,0.1665853,2.649666,-0.04767785,0.2778351,2.651693,-0.1893325,0.07375608,2.545081,-0.2363383,-0.1201342,2.470232,-0.1110586,-0.2491244,2.317877,-0.09547134,-0.2960428,2.299282,0.09036312,0.05731636,2.671065,0.1552514,-0.1558513,2.558213,0.2819547,-0.2657458,2.48626,0.2910473,-0.2706602,2.50138,-0.1202522,-0.2760756,2.501117,0.08385619,-0.358335,2.17177,0.238468,-0.5935093,1.869134,0.2772802,-0.6231598,1.755689,-0.0004216691,-0.2960789,2.551596,0.1899368,-0.3496711,2.208002,0.3174541,-0.6015121,1.951874,0.3458449,-0.6045614,1.823765,-0.05624538,0.1106815,2.640642,-0.06219933,-0.35794,2.261683,-0.06011188,-0.291531,2.288064,0.2969655,-0.3289509,2.495699,0.2746055,-0.3261217,2.486667
-0.06092627,-0.2887024,2.553935,-0.05828051,-0.05858879,2.606495,-0.05572234,0.166793,2.650544,-0.04859506,0.2779111,2.652293,-0.1895381,0.07384191,2.545404,-0.2365233,-0.1201944,2.470706,-0.1094741,-0.2517319,2.316381,-0.08787771,-0.3049771,2.304312,0.09002683,0.05774884,2.671313,0.1335215,-0.136487,2.576339,0.2635885,-0.2519048,2.495573,0.2801915,-0.2704925,2.497682,-0.1201452,-0.2756728,2.500833,0.08423075,-0.3597788,2.172186,0.2147796,-0.6152238,1.922695,0.2619494,-0.6299632,1.790286,-0.0004860438,-0.2956591,2.552519,0.1907844,-0.352102,2.209984,0.3179857,-0.6230459,1.974507,0.3361101,-0.6349617,1.846686,-0.05652387,0.1108735,2.641331,-0.03347877,-0.3577472,2.253568,-0.02825415,-0.3022723,2.287889,0.2941289,-0.329208,2.495475,0.2553804,-0.3037991,2.478556
-0.05952948,-0.2866977,2.552784,-0.05947978,-0.06118014,2.607145,-0.05857237,0.1621781,2.64918,-0.04956649,0.2748808,2.653378,-0.1892338,0.07385306,2.547965,-0.2410513,-0.1213709,2.469537,-0.190483,-0.1876552,2.3546,-0.1536573,-0.2219967,2.316676,0.08766711,0.05118114,2.672366,0.150009,-0.1341945,2.583453,0.2861509,-0.2178936,2.49317,0.2871968,-0.2578664,2.498667,-0.1157833,-0.2732335,2.492325,0.05845775,-0.3389736,2.19611,-0.1189284,-0.6683559,2.222162,-0.04334698,-0.7546556,2.185412,-0.001700739,-0.2934408,2.558241,0.2013087,-0.3574768,2.224647,0.2756298,-0.7211818,2.189231,0.3099182,-0.7603552,2.067962,-0.05869805,0.1067412,2.640242,-0.1545916,-0.2550623,2.283459,-0.1025738,-0.2222326,2.3265,0.2965446,-0.3077714,2.488863,0.2646299,-0.2691117,2.471
